user_id,age,gender,device,region,time_of_day,session_count,avg_purchase,reward_arm_0,reward_arm_1,reward_arm_2,reward_arm_3,reward_arm_4
1,56,F,tablet,marmara,afternoon,8,136.25,0,1,0,0,0
2,69,M,desktop,ege,morning,9,107.01,0,0,0,0,1
3,46,F,desktop,guneydogu_anadolu,afternoon,11,100.77,0,0,0,0,0
4,32,F,desktop,marmara,morning,11,43.58,1,0,0,0,0
5,60,F,mobile,dogu_anadolu,evening,14,398.93,0,1,1,0,0
6,25,F,desktop,ege,morning,2,51.96,1,0,0,0,0
7,38,M,desktop,marmara,afternoon,2,86.13,0,0,0,1,0
8,56,M,mobile,marmara,night,5,45.89,0,0,1,0,0
9,36,M,mobile,marmara,afternoon,15,23.42,0,1,0,0,0
10,40,F,mobile,marmara,afternoon,5,278.28,0,0,0,0,0
11,28,F,mobile,marmara,afternoon,12,27.73,0,0,1,0,1
12,28,F,mobile,ege,morning,10,182.21,0,0,0,0,0
13,41,M,mobile,marmara,morning,12,175.03,0,0,0,0,0
14,70,F,tablet,ic_anadolu,evening,2,70.05,0,0,0,0,0
15,53,M,desktop,karadeniz,evening,10,168.65,1,0,0,0,0
16,57,F,desktop,dogu_anadolu,evening,4,56.61,1,0,0,0,0
17,41,M,desktop,akdeniz,evening,9,114.3,0,0,0,0,1
18,20,F,desktop,guneydogu_anadolu,night,4,222.65,0,0,1,1,0
19,39,F,tablet,marmara,night,1,407.3,0,1,0,1,0
20,70,M,desktop,marmara,evening,5,105.67,1,0,0,0,0
21,19,F,tablet,marmara,evening,2,244.62,0,0,0,0,0
22,41,F,desktop,karadeniz,evening,14,81.93,0,0,0,0,0
23,61,M,tablet,dogu_anadolu,morning,6,150.43,0,0,0,0,0
24,47,M,mobile,ic_anadolu,morning,1,120.86,1,0,0,0,0
25,55,M,mobile,ege,morning,7,99.28,0,0,0,0,0
26,19,F,mobile,ic_anadolu,night,7,228.83,0,0,0,0,0
27,38,F,desktop,marmara,evening,15,262.86,0,0,0,0,0
28,50,F,mobile,akdeniz,evening,6,189.42,0,0,0,0,0
29,29,F,desktop,akdeniz,afternoon,9,387.52,1,0,1,1,0
30,39,M,mobile,marmara,afternoon,3,145.18,0,0,0,0,0
31,61,M,mobile,marmara,morning,6,17.74,1,0,0,1,0
32,42,F,desktop,karadeniz,night,5,51.33,0,0,0,0,0
33,66,M,mobile,akdeniz,evening,9,44.21,0,1,1,0,0
34,44,F,desktop,ege,evening,10,189.51,1,0,1,0,0
35,59,M,mobile,ege,morning,11,64.94,0,0,1,0,1
36,45,F,tablet,guneydogu_anadolu,morning,4,48.12,0,0,0,1,0
37,33,F,mobile,ege,afternoon,3,332.57,0,0,0,0,0
38,32,M,mobile,marmara,morning,12,113.59,0,1,0,0,0
39,64,M,mobile,akdeniz,evening,7,120.55,0,0,1,0,0
40,68,M,tablet,ic_anadolu,morning,1,182.26,0,0,0,1,0
41,61,F,desktop,marmara,afternoon,3,234.73,1,1,0,0,0
42,69,F,mobile,ege,afternoon,7,195.61,1,0,0,0,0
43,20,F,mobile,ege,afternoon,2,290.47,0,0,1,0,0
44,54,F,desktop,akdeniz,morning,10,175.62,1,0,0,0,0
45,68,M,desktop,ege,night,14,160.77,0,1,0,0,0
