,user_id,age,session_count,avg_purchase,reward_arm_0,reward_arm_1,reward_arm_2,reward_arm_3,reward_arm_4,gender_M,device_mobile,device_tablet,region_dogu_anadolu,region_ege,region_guneydogu_anadolu,region_ic_anadolu,region_karadeniz,region_marmara,time_of_day_evening,time_of_day_morning,time_of_day_night
0,1,56,8,136.25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,2,69,9,107.01,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2,3,46,11,100.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,32,11,43.58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,5,60,14,398.93,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5,6,25,2,51.96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,7,38,2,86.13,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7,8,56,5,45.89,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
8,9,36,15,23.42,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
9,10,40,5,278.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,11,28,12,27.73,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
11,12,28,10,182.21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
12,13,41,12,175.03,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
13,14,70,2,70.05,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14,15,53,10,168.65,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,16,57,4,56.61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,17,41,9,114.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
17,18,20,4,222.65,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
18,19,39,1,407.3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
19,20,70,5,105.67,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
20,21,19,2,244.62,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
21,22,41,14,81.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
22,23,61,6,150.43,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
23,24,47,1,120.86,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
24,25,55,7,99.28,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
25,26,19,7,228.83,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,27,38,15,262.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,28,50,6,189.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,29,29,9,387.52,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,39,3,145.18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
30,31,61,6,17.74,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
31,32,42,5,51.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,33,66,9,44.21,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
33,34,44,10,189.51,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
34,35,59,11,64.94,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
35,36,45,4,48.12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
36,37,33,3,332.57,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
37,38,32,12,113.59,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
38,39,64,7,120.55,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
39,40,68,1,182.26,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
40,41,61,3,234.73,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,42,69,7,195.61,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
42,43,20,2,290.47,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
43,44,54,10,175.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,45,68,14,160.77,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
45,46,24,14,230.65,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,47,38,13,185.28,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
47,48,26,3,117.32,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
48,49,56,9,166.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
49,50,35,4,51.91,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
50,51,21,6,98.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
51,52,42,7,76.16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,53,31,12,171.93,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
53,54,67,14,435.36,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
54,55,26,2,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,56,43,13,188.55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
56,57,70,11,222.05,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
